id;idAnalyse;distanceDebut;tpsDebut;tpsDebutCycles;nbCycles;tpsFinCycles;distanceFin;tpsFin
2235;304;175;100.86;100.86;11;113.24;195;113.24
2236;305;5;-1;-1;-1;-1;15;-1
2237;305;15;-1;-1;-1;-1;25;-1
2238;305;25;-1;-1;-1;-1;45;-1
2239;305;55;-1;-1;-1;-1;65;-1
2240;305;65;-1;-1;-1;-1;75;-1
2241;305;75;-1;-1;-1;-1;95;-1
2242;305;105;-1;-1;-1;-1;115;-1
2243;305;115;-1;-1;-1;-1;125;-1
2244;305;125;-1;-1;-1;-1;145;-1
2245;305;155;-1;-1;-1;-1;165;-1
2246;305;165;-1;-1;-1;-1;175;-1
2247;305;175;-1;-1;-1;-1;195;-1
2248;306;5;-1;5.29;1;6.77;15;6.77
2249;306;15;6.77;6.77;5;12.28;25;12.28
2250;306;25;12.28;12.28;10;24.03;45;24.03
2251;306;55;29.22;31.89;3;35.84;65;35.84
2252;306;65;35.84;35.84;5;41.86;75;41.86
2253;306;75;41.86;41.86;10;53.8;95;53.8
2254;306;105;59.49;61.47;4;65.98;115;65.98
2255;306;115;65.98;65.98;5;72.12;125;72.12
2256;306;125;72.12;72.12;11;85.21;145;85.21
2257;306;155;90.65;92.62;4;97.43;165;97.43
2258;306;165;97.43;97.43;6;103.82;175;103.82
2259;306;175;103.82;103.82;11;116.9;195;116.9
2260;307;5;-1;5.77;0;6.27;15;6.27
2261;307;15;6.27;6.27;4;11.83;25;11.83
2262;307;25;11.83;11.83;10;24.31;45;24.31
2263;307;55;29.36;31.76;3;35.81;65;35.81
2264;307;65;35.81;35.81;5;42.21;75;42.21
2265;307;75;42.21;42.21;10;54.71;95;54.71
2266;307;105;60.24;62.74;3;66.9;115;66.9
2267;307;115;66.9;66.9;5;73.1;125;73.1
2268;307;125;73.1;73.1;10;85.69;145;85.69
2269;307;155;91.63;93.04;4;98.16;165;98.16
2270;307;165;98.16;98.16;6;104.43;175;104.43
2271;307;175;104.43;104.43;12;117.47;195;117.47
2272;308;5;-1;-1;-1;-1;15;-1
2273;308;15;-1;-1;-1;-1;25;-1
2274;308;25;-1;-1;-1;-1;45;-1
2275;308;55;-1;-1;-1;-1;65;-1
2276;308;65;-1;-1;-1;-1;75;-1
2277;308;75;-1;-1;-1;-1;95;-1
2278;308;105;-1;-1;-1;-1;115;-1
2279;308;115;-1;-1;-1;-1;125;-1
2280;308;125;-1;-1;-1;-1;145;-1
2281;308;155;-1;-1;-1;-1;165;-1
2282;308;165;-1;-1;-1;-1;175;-1
2283;308;175;-1;-1;-1;-1;195;-1
2284;309;5;-1;6.45;1;8.16;15;8.16
2285;309;15;8.16;8.16;5;14.66;25;14.66
2286;309;25;14.66;14.66;10;28.67;45;28.67
2287;309;55;34.03;37.62;2;41.1;65;41.1
2288;309;65;41.1;41.1;5;48.17;75;48.17
2289;309;75;48.17;48.17;10;62.83;95;62.83
2290;309;105;68.45;70.82;4;75.9;115;75.9
2291;309;115;75.9;75.9;5;82.86;125;82.86
2292;309;125;82.86;82.86;10;97.76;145;97.76
2293;309;155;103.42;105.51;4;110.92;165;110.92
2294;309;165;110.92;110.92;5;118.26;175;118.26
