h;idAnalyse;distanceDebut;tpsFinCoulee;tpsFinPremierMvt;nbCycles;tpsFinDernierMvt;distanceFin;tpsPassage
473;205;0;5.98;-1;0;23.94;50;24.23
474;205;50;30.42;-1;0;50.86;100;51.11
475;206;0;5.33;-1;0;23.57;50;23.64
476;206;50;30.73;-1;0;51.47;100;51.86
477;207;0;5.48;-1;0;23.68;50;24.1
478;207;50;29.45;-1;0;51.32;100;51.39
479;208;0;6.17;-1;0;24.76;50;25.98
480;208;50;31.92;-1;0;52.56;100;53.02
481;209;0;5.83;-1;0;24.78;50;25.92
482;209;50;31.29;-1;0;52.69;100;52.9
483;210;0;6.62;-1;0;24.44;50;25.5
484;210;50;30.15;-1;0;52.56;100;52.88
485;211;0;5.95;-1;0;23.97;50;25.16
486;211;50;30.48;-1;0;52.51;100;52.97
487;212;0;5.86;-1;0;24.5;50;25.89
488;212;50;32.17;-1;0;53.36;100;53.51
489;213;0;6.13;-1;0;25.01;50;25.99
490;213;50;32.38;-1;0;52.99;100;53.34
491;214;0;6.46;-1;0;27.34;50;27.87
492;214;50;33.91;-1;0;58.87;100;59.52
493;215;0;6.2;-1;0;27.42;50;27.79
494;215;50;33.98;-1;0;58.74;100;59.5
495;216;0;6.15;-1;0;26.69;50;27.01
496;216;50;33.56;-1;0;57.61;100;58.1
497;217;0;-1;-1;0;-1;50;26.64
498;217;50;-1;-1;0;-1;100;57.66
499;218;0;6;-1;0;26.12;50;26.94
500;218;50;33.86;-1;0;58.29;100;58.94
501;219;0;5.41;-1;0;26.42;50;27.67
502;219;50;33.08;-1;0;57.97;100;58.58
503;220;0;6.34;-1;0;26.39;50;26.85
504;220;50;33.47;-1;0;58.27;100;58.75
505;221;0;6.57;-1;0;27.06;50;27.7
506;221;50;33.94;-1;0;58.87;100;59.31
507;222;0;6.09;-1;0;25.23;50;25.6
508;222;50;31.86;-1;0;54.56;100;55.05
509;222;100;61.1;-1;0;84.6;150;85.28
510;222;150;91.9;-1;0;114.86;200;115.69
511;223;0;5.9;-1;0;25.4;50;25.55
512;223;50;31.24;-1;0;54.21;100;54.88
513;223;100;60.49;-1;0;83.85;150;84.67
514;223;150;90.35;-1;0;114.48;200;115.18
515;224;0;5.9;-1;0;24.96;50;25.06
516;224;50;31.18;-1;0;53.06;100;53.19
517;224;100;59.3;-1;0;82.09;150;82.96
518;224;150;88.49;-1;0;114.27;200;114.28
519;225;0;6.08;-1;0;24.96;50;25.5
520;225;50;30.68;-1;0;53.84;100;54.58
521;225;100;59.67;-1;0;83.7;150;84.34
522;225;150;89.56;-1;0;114.18;200;114.43
523;226;0;5.54;-1;0;24.33;50;24.57
524;226;50;31.43;-1;0;52.4;100;53.12
525;226;100;60.21;-1;0;81;150;81.76
526;226;150;88.57;-1;0;111.09;200;111.1
527;227;0;6.16;-1;0;25.1;50;25.29
528;227;50;31.78;-1;0;53.46;100;54.29
529;227;100;60.59;-1;0;84;150;84.05
530;227;150;89.8;-1;0;114.38;200;114.5
531;228;0;5.9;-1;0;24.53;50;25.66
532;228;50;30.44;-1;0;54.38;100;54.75
533;228;100;59.78;-1;0;84.44;150;85.32
534;228;150;90.11;-1;0;116.38;200;116.69
535;229;0;6.24;-1;0;25.74;50;25.8
536;229;50;32.33;-1;0;55.08;100;55.14
537;229;100;61.09;-1;0;85.48;150;85.59
538;229;150;91.54;-1;0;116.04;200;116.33
539;230;0;6.85;-1;0;27.07;50;28.62
540;230;50;36.13;-1;0;57.47;100;58.86
541;230;100;65.93;-1;0;87.53;150;88.97
542;230;150;96.11;-1;0;118.29;200;118.56
543;231;0;6.72;-1;0;26.12;50;27.45
544;231;50;33.33;-1;0;55.66;100;56.98
545;231;100;62.66;-1;0;85.4;150;86.81
546;231;150;92.22;-1;0;116.52;200;116.67
547;232;0;6.38;-1;0;25.52;50;26.84
548;232;50;32.99;-1;0;54.59;100;55.49
