id;idAnalyse;distanceDebut;tpsFinCoulee;tpsFinPremierMvt;nbCycles;tpsFinDernierMvt;distanceFin;tpsPassage
2225;791;0;6.17;-1;0;26.15;50;26.81
2226;791;50;32.59;-1;0;57.49;100;58.04
2227;792;0;6.45;-1;0;25.98;50;26.65
2228;792;50;34.54;-1;0;58.15;100;58.99
2229;793;0;4.71;-1;0;27.24;50;28.27
2230;793;50;32.63;-1;0;60.42;100;60.53
2231;794;0;5.89;-1;0;28.59;50;29.34
2232;794;50;34.6;-1;0;60.97;100;61.76
2233;811;0;6.18;-1;0;31.88;50;32.85
2234;811;50;39.17;-1;0;69.18;100;70.6
2235;812;0;6.08;-1;0;31.74;50;32.9
2236;812;50;39.02;-1;0;69.48;100;70.33
2237;813;0;6.41;-1;0;31.49;50;32.1
2238;813;50;38.07;-1;0;67.18;100;68.31
2239;814;0;6.38;-1;0;31.2;50;32.08
2240;814;50;37.91;-1;0;67.73;100;68.41
2241;815;0;6.21;-1;0;31.51;50;32.31
2242;815;50;37.48;-1;0;68;100;69.03
2243;816;0;6.49;-1;0;31;50;32.38
2244;816;50;38.74;-1;0;67.3;100;67.81
2245;817;0;6.37;-1;0;31.96;50;32.89
2246;817;50;39.25;-1;0;68.95;100;70.27
